project_a,project_b,winner,winner_name
CIDgravity Nextcloud App,Fil Implementers WG - Cross-Client Coordination and Governance,project_b,Fil Implementers WG - Cross-Client Coordination and Governance
FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,CIDgravity Filecoin Gateway,project_b,CIDgravity Filecoin Gateway
Axelar Network,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",project_b,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
Open Source Observer (OSO),Filecoin Community Service -VenusHub,project_b,Filecoin Community Service -VenusHub
IPFS Public Utilities,OneForm – SocialCap,project_a,IPFS Public Utilities
FIL-B (FIL Builders) DX and Community,FIP Editors - Filecoin Improvement Proposal Governance,project_b,FIP Editors - Filecoin Improvement Proposal Governance
IPFS Desktop and Companion,Boost,project_b,Boost
Old Faithful,Crossfi,project_b,Crossfi
Filliquid,Filecoin Address Drainer,project_a,Filliquid
Filecoin Spark,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,project_a,Filecoin Spark
BlockseBlock,go-libp2p,project_b,go-libp2p
Filecoin Ledger App & Installation Hub,libp2p Community Architecting and Infra Management,project_b,libp2p Community Architecting and Infra Management
Lily: blockchain data extraction for Filecoin,FilDOS,project_a,Lily: blockchain data extraction for Filecoin
Filmint,FileScope AI: Blockchain-Powered Dataset Analysis Platform,project_a,Filmint
MechaFIL-JAX,Filecoin BigQuery Data Repository,project_a,MechaFIL-JAX
Asia-SPWG,Multichain Storage,project_b,Multichain Storage
SealGuard,iso-filecoin,project_b,iso-filecoin
Filscan Explorer,Curio Smart Cordon & Restart System,project_b,Curio Smart Cordon & Restart System
Forest,B<>rder/ess Developers Program,project_a,Forest
MYRAD,NanoDC Project,project_b,NanoDC Project
FilPunks,Cuview,project_b,Cuview
ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),Filecoin Data Portal,project_b,Filecoin Data Portal
Filecoin Slack Community Admin,Guide To Filecoin - Easing the Transition to Filecoin.,project_a,Filecoin Slack Community Admin
Safe on Filecoin,Storacha-Solana-SDK,project_a,Safe on Filecoin
Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,Meet with Huddle01,project_a,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods
The Epoch Clock,Forest Explorer,project_b,Forest Explorer
filecoin-checker,Filecoin FIPs Tracker,project_a,filecoin-checker
JZFS - Building Data Hub-and-Spoke Model with Filecoin,Lighthouse,project_b,Lighthouse
FIP 100 Research & Development,FilOz – Advancing the Filecoin Protocol,project_b,FilOz – Advancing the Filecoin Protocol
Eastore,OrbitChina,project_a,Eastore
Chain.Love,witnesschain,project_a,Chain.Love
py-libp2p: The Python libp2p Stack for Filecoin & IPFS,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,project_b,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
Helia,Silvi: IPFS-Powered Biodiversity Infrastructure,project_a,Helia
Cyberport Data Integration,Filecoin Orbit Bootcamp Africa,project_b,Filecoin Orbit Bootcamp Africa
CalibrationNet Stability Project,Forest Archive,project_b,Forest Archive
filsnap,Boxo and Kubo,project_b,Boxo and Kubo
Filet Finance,Metrics for the Filecoin P2P network health,project_b,Metrics for the Filecoin P2P network health
ND Labs,OpenEdStore Decentralized Educational Storage Platform,project_a,ND Labs
Beryx Filecoin Explorer,FILCAPETOWN,project_a,Beryx Filecoin Explorer
Secured Finance,Curio Snark Market,project_b,Curio Snark Market
MUSE,IPFS及Filecoin价值资讯传递（南山居士Hill）,project_b,IPFS及Filecoin价值资讯传递（南山居士Hill）
chainfee,Filosign,project_a,chainfee
Drips,Beryx Filecoin API,project_a,Drips
Filecoin Orbit Uganda,FIL LAGOS,project_a,Filecoin Orbit Uganda
MetaEra,Lynx – Storage Provider Retrieval Analytics Platform,project_b,Lynx – Storage Provider Retrieval Analytics Platform
GainForest: The world’s first community-owned data commons for nature impact,Blockscout Open Source Filecoin Explorer,project_b,Blockscout Open Source Filecoin Explorer
Filecoin Nigeria,Keypo,project_a,Filecoin Nigeria
ETHAccra,4EVERLAND,project_b,4EVERLAND
ETH-FIL swap,fil-miner-info.safematrix,project_a,ETH-FIL swap
Eth Transport – Decentralized Civic Infrastructure on Filecoin,Filecoin Beam,project_b,Filecoin Beam
Retrieval Tester,OP Medicine – Filecoin-Powered Healthcare Infrastructure,project_b,OP Medicine – Filecoin-Powered Healthcare Infrastructure
Filecoin Kenya Community,WarmWeb,project_a,Filecoin Kenya Community
Filecoin Deal Tool - Droplet,FIL RetroPGF Data Analysis & Round Modeling,project_a,Filecoin Deal Tool - Droplet
万佳社区,boxo-starter-kit,project_a,万佳社区
Root Key Holder management portal,Curio APT Repository (Filecoin APT),project_a,Root Key Holder management portal
Spacescope: API service for the Filecoin ecosystem,Curio Storage,project_a,Spacescope: API service for the Filecoin ecosystem
"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",Filecoin Community Services,project_b,Filecoin Community Services
UCAN,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",project_b,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges."
Filecoin Client Implementation - Venus,Curio Dashboard,project_a,Filecoin Client Implementation - Venus
CIDgravity Nextcloud App,Ancients Research,project_a,CIDgravity Nextcloud App
DevTTY Filecoin Mainnet Bootstrap Nodes,Fil Implementers WG - Cross-Client Coordination and Governance,project_b,Fil Implementers WG - Cross-Client Coordination and Governance
"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,project_a,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
Filecoin Community Service -VenusHub,CIDgravity Filecoin Gateway,project_a,Filecoin Community Service -VenusHub
IPFS Public Utilities,Axelar Network,project_a,IPFS Public Utilities
FIL-B (FIL Builders) DX and Community,Open Source Observer (OSO),project_a,FIL-B (FIL Builders) DX and Community
OneForm – SocialCap,IPFS Desktop and Companion,project_b,IPFS Desktop and Companion
Crossfi,FIP Editors - Filecoin Improvement Proposal Governance,project_b,FIP Editors - Filecoin Improvement Proposal Governance
Filliquid,Boost,project_b,Boost
Filecoin Spark,Old Faithful,project_a,Filecoin Spark
Filecoin Address Drainer,BlockseBlock,project_b,BlockseBlock
PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,libp2p Community Architecting and Infra Management,project_b,libp2p Community Architecting and Infra Management
go-libp2p,FilDOS,project_a,go-libp2p
Filmint,Filecoin Ledger App & Installation Hub,project_b,Filecoin Ledger App & Installation Hub
Lily: blockchain data extraction for Filecoin,MechaFIL-JAX,project_a,Lily: blockchain data extraction for Filecoin
Multichain Storage,FileScope AI: Blockchain-Powered Dataset Analysis Platform,project_a,Multichain Storage
Filecoin BigQuery Data Repository,iso-filecoin,project_b,iso-filecoin
Filscan Explorer,Asia-SPWG,project_a,Filscan Explorer
B<>rder/ess Developers Program,SealGuard,project_a,B<>rder/ess Developers Program
NanoDC Project,Curio Smart Cordon & Restart System,project_b,Curio Smart Cordon & Restart System
Forest,Cuview,project_a,Forest
MYRAD,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),project_a,MYRAD
FilPunks,Guide To Filecoin - Easing the Transition to Filecoin.,project_a,FilPunks
Safe on Filecoin,Filecoin Data Portal,project_b,Filecoin Data Portal
Filecoin Slack Community Admin,Meet with Huddle01,project_a,Filecoin Slack Community Admin
The Epoch Clock,Storacha-Solana-SDK,project_a,The Epoch Clock
Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,Filecoin FIPs Tracker,project_a,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods
Forest Explorer,JZFS - Building Data Hub-and-Spoke Model with Filecoin,project_a,Forest Explorer
filecoin-checker,FIP 100 Research & Development,project_b,FIP 100 Research & Development
Lighthouse,OrbitChina,project_a,Lighthouse
witnesschain,FilOz – Advancing the Filecoin Protocol,project_b,FilOz – Advancing the Filecoin Protocol
drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,Eastore,project_a,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
Chain.Love,Helia,project_a,Chain.Love
py-libp2p: The Python libp2p Stack for Filecoin & IPFS,Filecoin Orbit Bootcamp Africa,project_a,py-libp2p: The Python libp2p Stack for Filecoin & IPFS
CalibrationNet Stability Project,Silvi: IPFS-Powered Biodiversity Infrastructure,project_b,Silvi: IPFS-Powered Biodiversity Infrastructure
Boxo and Kubo,Cyberport Data Integration,project_a,Boxo and Kubo
Filet Finance,Forest Archive,project_b,Forest Archive
filsnap,ND Labs,project_a,filsnap
FILCAPETOWN,Metrics for the Filecoin P2P network health,project_b,Metrics for the Filecoin P2P network health
Curio Snark Market,OpenEdStore Decentralized Educational Storage Platform,project_a,Curio Snark Market
IPFS及Filecoin价值资讯传递（南山居士Hill）,Beryx Filecoin Explorer,project_a,IPFS及Filecoin价值资讯传递（南山居士Hill）
Filosign,Secured Finance,project_b,Secured Finance
Beryx Filecoin API,MUSE,project_a,Beryx Filecoin API
Filecoin Orbit Uganda,chainfee,project_b,chainfee
Lynx – Storage Provider Retrieval Analytics Platform,Drips,project_b,Drips
FIL LAGOS,GainForest: The world’s first community-owned data commons for nature impact,project_b,GainForest: The world’s first community-owned data commons for nature impact
MetaEra,Keypo,project_b,Keypo
Blockscout Open Source Filecoin Explorer,ETHAccra,project_a,Blockscout Open Source Filecoin Explorer
Filecoin Nigeria,fil-miner-info.safematrix,project_a,Filecoin Nigeria
Filecoin Beam,4EVERLAND,project_b,4EVERLAND
Retrieval Tester,ETH-FIL swap,project_a,Retrieval Tester
WarmWeb,Eth Transport – Decentralized Civic Infrastructure on Filecoin,project_b,Eth Transport – Decentralized Civic Infrastructure on Filecoin
FIL RetroPGF Data Analysis & Round Modeling,OP Medicine – Filecoin-Powered Healthcare Infrastructure,project_b,OP Medicine – Filecoin-Powered Healthcare Infrastructure
boxo-starter-kit,Filecoin Kenya Community,project_b,Filecoin Kenya Community
Filecoin Deal Tool - Droplet,Curio APT Repository (Filecoin APT),project_a,Filecoin Deal Tool - Droplet
Curio Storage,万佳社区,project_a,Curio Storage
Filecoin Community Services,Root Key Holder management portal,project_a,Filecoin Community Services
Spacescope: API service for the Filecoin ecosystem,UCAN,project_a,Spacescope: API service for the Filecoin ecosystem
"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",Curio Dashboard,project_b,Curio Dashboard
CIDgravity Nextcloud App,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",project_b,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges."
Filecoin Client Implementation - Venus,Fil Implementers WG - Cross-Client Coordination and Governance,project_a,Filecoin Client Implementation - Venus
DevTTY Filecoin Mainnet Bootstrap Nodes,Ancients Research,project_a,DevTTY Filecoin Mainnet Bootstrap Nodes
Filecoin Community Service -VenusHub,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,project_b,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin
IPFS Public Utilities,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",project_b,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
CIDgravity Filecoin Gateway,FIL-B (FIL Builders) DX and Community,project_b,FIL-B (FIL Builders) DX and Community
Axelar Network,IPFS Desktop and Companion,project_a,Axelar Network
Crossfi,Open Source Observer (OSO),project_a,Crossfi
Filliquid,OneForm – SocialCap,project_a,Filliquid
FIP Editors - Filecoin Improvement Proposal Governance,Filecoin Spark,project_a,FIP Editors - Filecoin Improvement Proposal Governance
BlockseBlock,Boost,project_b,Boost
libp2p Community Architecting and Infra Management,Old Faithful,project_a,libp2p Community Architecting and Infra Management
FilDOS,Filecoin Address Drainer,project_a,FilDOS
PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,Filmint,project_a,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild
go-libp2p,MechaFIL-JAX,project_b,MechaFIL-JAX
Multichain Storage,Filecoin Ledger App & Installation Hub,project_b,Filecoin Ledger App & Installation Hub
Lily: blockchain data extraction for Filecoin,iso-filecoin,project_b,iso-filecoin
FileScope AI: Blockchain-Powered Dataset Analysis Platform,Filscan Explorer,project_b,Filscan Explorer
B<>rder/ess Developers Program,Filecoin BigQuery Data Repository,project_b,Filecoin BigQuery Data Repository
NanoDC Project,Asia-SPWG,project_b,Asia-SPWG
SealGuard,Cuview,project_a,SealGuard
ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),Curio Smart Cordon & Restart System,project_b,Curio Smart Cordon & Restart System
Guide To Filecoin - Easing the Transition to Filecoin.,Forest,project_b,Forest
Safe on Filecoin,MYRAD,project_a,Safe on Filecoin
FilPunks,Meet with Huddle01,project_b,Meet with Huddle01
Filecoin Data Portal,The Epoch Clock,project_a,Filecoin Data Portal
Filecoin FIPs Tracker,Filecoin Slack Community Admin,project_b,Filecoin Slack Community Admin
JZFS - Building Data Hub-and-Spoke Model with Filecoin,Storacha-Solana-SDK,project_a,JZFS - Building Data Hub-and-Spoke Model with Filecoin
FIP 100 Research & Development,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,project_a,FIP 100 Research & Development
Forest Explorer,OrbitChina,project_b,OrbitChina
witnesschain,filecoin-checker,project_b,filecoin-checker
Lighthouse,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,project_b,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
FilOz – Advancing the Filecoin Protocol,Helia,project_a,FilOz – Advancing the Filecoin Protocol
Eastore,Filecoin Orbit Bootcamp Africa,project_a,Eastore
Chain.Love,CalibrationNet Stability Project,project_a,Chain.Love
Boxo and Kubo,py-libp2p: The Python libp2p Stack for Filecoin & IPFS,project_a,Boxo and Kubo
Filet Finance,Silvi: IPFS-Powered Biodiversity Infrastructure,project_b,Silvi: IPFS-Powered Biodiversity Infrastructure
ND Labs,Cyberport Data Integration,project_a,ND Labs
FILCAPETOWN,Forest Archive,project_b,Forest Archive
filsnap,Curio Snark Market,project_b,Curio Snark Market
Metrics for the Filecoin P2P network health,IPFS及Filecoin价值资讯传递（南山居士Hill）,project_b,IPFS及Filecoin价值资讯传递（南山居士Hill）
OpenEdStore Decentralized Educational Storage Platform,Filosign,project_a,OpenEdStore Decentralized Educational Storage Platform
Beryx Filecoin API,Beryx Filecoin Explorer,project_a,Beryx Filecoin API
Secured Finance,Filecoin Orbit Uganda,project_a,Secured Finance
Lynx – Storage Provider Retrieval Analytics Platform,MUSE,project_a,Lynx – Storage Provider Retrieval Analytics Platform
chainfee,GainForest: The world’s first community-owned data commons for nature impact,project_b,GainForest: The world’s first community-owned data commons for nature impact
Keypo,Drips,project_b,Drips
FIL LAGOS,ETHAccra,project_b,ETHAccra
MetaEra,fil-miner-info.safematrix,project_b,fil-miner-info.safematrix
Blockscout Open Source Filecoin Explorer,Filecoin Beam,project_a,Blockscout Open Source Filecoin Explorer
Retrieval Tester,Filecoin Nigeria,project_b,Filecoin Nigeria
WarmWeb,4EVERLAND,project_b,4EVERLAND
FIL RetroPGF Data Analysis & Round Modeling,ETH-FIL swap,project_a,FIL RetroPGF Data Analysis & Round Modeling
boxo-starter-kit,Eth Transport – Decentralized Civic Infrastructure on Filecoin,project_b,Eth Transport – Decentralized Civic Infrastructure on Filecoin
Curio APT Repository (Filecoin APT),OP Medicine – Filecoin-Powered Healthcare Infrastructure,project_b,OP Medicine – Filecoin-Powered Healthcare Infrastructure
Filecoin Kenya Community,Curio Storage,project_b,Curio Storage
Filecoin Deal Tool - Droplet,Filecoin Community Services,project_a,Filecoin Deal Tool - Droplet
UCAN,万佳社区,project_b,万佳社区
Curio Dashboard,Root Key Holder management portal,project_b,Root Key Holder management portal
Spacescope: API service for the Filecoin ecosystem,CIDgravity Nextcloud App,project_a,Spacescope: API service for the Filecoin ecosystem
"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",Fil Implementers WG - Cross-Client Coordination and Governance,project_b,Fil Implementers WG - Cross-Client Coordination and Governance
